threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
0.05,0.5721973094170404,0.23717948717948717,0.9932885906040269,0.3829236739974127,148,490,476,1
0.1,0.9318385650224216,0.6729857819905213,0.9530201342281879,0.7888888888888889,142,897,69,7
0.15,0.9748878923766816,0.8805031446540881,0.9395973154362416,0.9090909090909091,140,947,19,9
0.2,0.9802690582959641,0.9440559440559441,0.9060402684563759,0.9246575342465754,135,958,8,14
0.25,0.9802690582959641,0.9774436090225563,0.87248322147651,0.9219858156028369,130,963,3,19
0.3,0.9775784753363229,0.9769230769230769,0.8523489932885906,0.9103942652329748,127,963,3,22
0.35,0.9775784753363229,0.9920634920634921,0.8389261744966443,0.9090909090909092,125,965,1,24
0.4,0.9757847533632287,0.9919354838709677,0.825503355704698,0.9010989010989011,123,965,1,26
0.45,0.9659192825112107,0.9911504424778761,0.7516778523489933,0.8549618320610688,112,965,1,37
0.5,0.9614349775784753,1.0,0.7114093959731543,0.8313725490196078,106,966,0,43
0.55,0.9515695067264573,1.0,0.6375838926174496,0.7786885245901639,95,966,0,54
0.6,0.9417040358744395,1.0,0.5637583892617449,0.7210300429184548,84,966,0,65
0.65,0.9318385650224216,1.0,0.4899328859060403,0.6576576576576576,73,966,0,76
0.7,0.9210762331838565,1.0,0.40939597315436244,0.580952380952381,61,966,0,88
0.75,0.9112107623318386,1.0,0.33557046979865773,0.5025125628140704,50,966,0,99
0.8,0.8986547085201794,1.0,0.24161073825503357,0.38918918918918916,36,966,0,113
0.85,0.8825112107623319,1.0,0.12080536912751678,0.2155688622754491,18,966,0,131
0.9,0.873542600896861,1.0,0.053691275167785234,0.10191082802547771,8,966,0,141
0.95,0.8681614349775785,1.0,0.013422818791946308,0.026490066225165563,2,966,0,147
