threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
0.05,0.7677130044843049,0.3645320197044335,0.9932885906040269,0.5333333333333333,148,708,258,1
0.1,0.8986547085201794,0.5692307692307692,0.9932885906040269,0.7237163814180928,148,854,112,1
0.15,0.9524663677130045,0.75,0.9664429530201343,0.8445747800586512,144,918,48,5
0.2,0.9748878923766816,0.8711656441717791,0.9530201342281879,0.9102564102564101,142,945,21,7
0.25,0.97847533632287,0.9251700680272109,0.912751677852349,0.9189189189189189,136,955,11,13
0.3,0.9811659192825112,0.9507042253521126,0.9060402684563759,0.9278350515463918,135,959,7,14
0.35,0.9802690582959641,0.9922480620155039,0.8590604026845637,0.9208633093525179,128,965,1,21
0.4,0.9775784753363229,0.9920634920634921,0.8389261744966443,0.9090909090909092,125,965,1,24
0.45,0.9757847533632287,0.9919354838709677,0.825503355704698,0.9010989010989011,123,965,1,26
0.5,0.9739910313901345,0.9918032786885246,0.8120805369127517,0.892988929889299,121,965,1,28
0.55,0.9730941704035875,1.0,0.7986577181208053,0.8880597014925372,119,966,0,30
0.6,0.9695067264573991,1.0,0.7718120805369127,0.8712121212121211,115,966,0,34
0.65,0.9641255605381166,1.0,0.7315436241610739,0.8449612403100776,109,966,0,40
0.7,0.9605381165919282,1.0,0.7046979865771812,0.8267716535433071,105,966,0,44
0.75,0.95695067264574,1.0,0.6778523489932886,0.808,101,966,0,48
0.8,0.9542600896860987,1.0,0.6577181208053692,0.7935222672064777,98,966,0,51
0.85,0.9488789237668162,1.0,0.6174496644295302,0.7634854771784232,92,966,0,57
0.9,0.9354260089686098,1.0,0.5167785234899329,0.6814159292035399,77,966,0,72
0.95,0.9201793721973094,1.0,0.40268456375838924,0.5741626794258373,60,966,0,89
