threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
0.05,0.8879310344827587,0.8169014084507042,1.0,0.8992248062015504,58,45,13,0
0.1,0.896551724137931,0.8382352941176471,0.9827586206896551,0.9047619047619048,57,47,11,1
0.15,0.8879310344827587,0.8461538461538461,0.9482758620689655,0.894308943089431,55,48,10,3
0.2,0.8879310344827587,0.8461538461538461,0.9482758620689655,0.894308943089431,55,48,10,3
0.25,0.8879310344827587,0.8461538461538461,0.9482758620689655,0.894308943089431,55,48,10,3
0.3,0.8879310344827587,0.8461538461538461,0.9482758620689655,0.894308943089431,55,48,10,3
0.35,0.896551724137931,0.859375,0.9482758620689655,0.9016393442622951,55,49,9,3
0.4,0.9137931034482759,0.8870967741935484,0.9482758620689655,0.9166666666666667,55,51,7,3
0.45,0.9137931034482759,0.9,0.9310344827586207,0.9152542372881356,54,52,6,4
0.5,0.9224137931034483,0.9152542372881356,0.9310344827586207,0.923076923076923,54,53,5,4
0.55,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,54,54,4,4
0.6,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,54,54,4,4
0.65,0.9224137931034483,0.9454545454545454,0.896551724137931,0.920353982300885,52,55,3,6
0.7,0.9224137931034483,0.9454545454545454,0.896551724137931,0.920353982300885,52,55,3,6
0.75,0.9224137931034483,0.9622641509433962,0.8793103448275862,0.9189189189189189,51,56,2,7
0.8,0.9137931034482759,0.9615384615384616,0.8620689655172413,0.9090909090909091,50,56,2,8
0.85,0.9137931034482759,0.9615384615384616,0.8620689655172413,0.9090909090909091,50,56,2,8
0.9,0.9137931034482759,0.98,0.8448275862068966,0.9074074074074074,49,57,1,9
0.95,0.9051724137931034,0.9795918367346939,0.8275862068965517,0.897196261682243,48,57,1,10
