threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
0.05,0.7327586206896551,0.651685393258427,1.0,0.7891156462585034,58,27,31,0
0.1,0.8017241379310345,0.7160493827160493,1.0,0.8345323741007193,58,35,23,0
0.15,0.8189655172413793,0.7341772151898734,1.0,0.8467153284671534,58,37,21,0
0.2,0.8275862068965517,0.7435897435897436,1.0,0.8529411764705882,58,38,20,0
0.25,0.8620689655172413,0.7837837837837838,1.0,0.8787878787878788,58,42,16,0
0.3,0.8706896551724138,0.7945205479452054,1.0,0.8854961832061068,58,43,15,0
0.35,0.8793103448275862,0.8142857142857143,0.9827586206896551,0.8906250000000001,57,45,13,1
0.4,0.9224137931034483,0.8769230769230769,0.9827586206896551,0.9268292682926829,57,50,8,1
0.45,0.9482758620689655,0.9333333333333333,0.9655172413793104,0.9491525423728815,56,54,4,2
0.5,0.9482758620689655,0.9814814814814815,0.9137931034482759,0.9464285714285714,53,57,1,5
0.55,0.9310344827586207,0.9807692307692307,0.8793103448275862,0.9272727272727272,51,57,1,7
0.6,0.9137931034482759,0.98,0.8448275862068966,0.9074074074074074,49,57,1,9
0.65,0.9137931034482759,0.98,0.8448275862068966,0.9074074074074074,49,57,1,9
0.7,0.896551724137931,0.9791666666666666,0.8103448275862069,0.8867924528301887,47,57,1,11
0.75,0.8706896551724138,0.9777777777777777,0.7586206896551724,0.854368932038835,44,57,1,14
0.8,0.8448275862068966,1.0,0.6896551724137931,0.8163265306122449,40,58,0,18
0.85,0.8275862068965517,1.0,0.6551724137931034,0.7916666666666666,38,58,0,20
0.9,0.8103448275862069,1.0,0.6206896551724138,0.7659574468085107,36,58,0,22
0.95,0.7672413793103449,1.0,0.5344827586206896,0.6966292134831461,31,58,0,27
