threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
0.05,0.8706896551724138,0.8028169014084507,0.9827586206896551,0.8837209302325583,57,44,14,1
0.1,0.8879310344827587,0.8461538461538461,0.9482758620689655,0.894308943089431,55,48,10,3
0.15,0.896551724137931,0.859375,0.9482758620689655,0.9016393442622951,55,49,9,3
0.2,0.9051724137931034,0.873015873015873,0.9482758620689655,0.9090909090909091,55,50,8,3
0.25,0.9137931034482759,0.8870967741935484,0.9482758620689655,0.9166666666666667,55,51,7,3
0.3,0.9224137931034483,0.9016393442622951,0.9482758620689655,0.9243697478991596,55,52,6,3
0.35,0.9137931034482759,0.9,0.9310344827586207,0.9152542372881356,54,52,6,4
0.4,0.9137931034482759,0.9,0.9310344827586207,0.9152542372881356,54,52,6,4
0.45,0.9224137931034483,0.9152542372881356,0.9310344827586207,0.923076923076923,54,53,5,4
0.5,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,54,54,4,4
0.55,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,54,54,4,4
0.6,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,54,54,4,4
0.65,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9310344827586207,54,54,4,4
0.7,0.9396551724137931,0.9473684210526315,0.9310344827586207,0.9391304347826087,54,55,3,4
0.75,0.9482758620689655,0.9642857142857143,0.9310344827586207,0.9473684210526316,54,56,2,4
0.8,0.9482758620689655,0.9642857142857143,0.9310344827586207,0.9473684210526316,54,56,2,4
0.85,0.9310344827586207,0.9629629629629629,0.896551724137931,0.9285714285714286,52,56,2,6
0.9,0.9137931034482759,0.9615384615384616,0.8620689655172413,0.9090909090909091,50,56,2,8
0.95,0.9224137931034483,0.9803921568627451,0.8620689655172413,0.9174311926605505,50,57,1,8
